position_start,position_end,length,field_name,description,applies_to,values_summary,notes
620,626,7,ENTITY10_19,Entity-axis condition 19 (ICD-10),ID,Same structure as ENTITY10_01,
627,633,7,ENTITY10_20,Entity-axis condition 20 (ICD-10),ID,Same structure as ENTITY10_01,
634,635,2,RANUM10,Number of record-axis conditions (ICD-10),ID,00-20,Sub-component of RECORD10 umbrella 636-735
636,640,5,RECORD10_01,Record-axis condition 01 (ICD-10; 5 bytes; 5th position blank per doc),ID,"Positions: 1-4=ICD-10 code; 5=Blank per doc",PDF labels umbrella simply as RECORD (without 10 suffix); _10 suffix added here for disambiguation from ICD-9 RECORD9 block
641,645,5,RECORD10_02,Record-axis condition 02 (ICD-10),ID,Same structure as RECORD10_01,
646,650,5,RECORD10_03,Record-axis condition 03 (ICD-10),ID,Same structure as RECORD10_01,
651,655,5,RECORD10_04,Record-axis condition 04 (ICD-10),ID,Same structure as RECORD10_01,
656,660,5,RECORD10_05,Record-axis condition 05 (ICD-10),ID,Same structure as RECORD10_01,
661,665,5,RECORD10_06,Record-axis condition 06 (ICD-10),ID,Same structure as RECORD10_01,
666,670,5,RECORD10_07,Record-axis condition 07 (ICD-10),ID,Same structure as RECORD10_01,
671,675,5,RECORD10_08,Record-axis condition 08 (ICD-10),ID,Same structure as RECORD10_01,
676,680,5,RECORD10_09,Record-axis condition 09 (ICD-10),ID,Same structure as RECORD10_01,
681,685,5,RECORD10_10,Record-axis condition 10 (ICD-10),ID,Same structure as RECORD10_01,
686,690,5,RECORD10_11,Record-axis condition 11 (ICD-10),ID,Same structure as RECORD10_01,
691,695,5,RECORD10_12,Record-axis condition 12 (ICD-10),ID,Same structure as RECORD10_01,
696,700,5,RECORD10_13,Record-axis condition 13 (ICD-10),ID,Same structure as RECORD10_01,
701,705,5,RECORD10_14,Record-axis condition 14 (ICD-10),ID,Same structure as RECORD10_01,
706,710,5,RECORD10_15,Record-axis condition 15 (ICD-10),ID,Same structure as RECORD10_01,
711,715,5,RECORD10_16,Record-axis condition 16 (ICD-10),ID,Same structure as RECORD10_01,
716,720,5,RECORD10_17,Record-axis condition 17 (ICD-10),ID,Same structure as RECORD10_01,
721,725,5,RECORD10_18,Record-axis condition 18 (ICD-10),ID,Same structure as RECORD10_01,
726,730,5,RECORD10_19,Record-axis condition 19 (ICD-10),ID,Same structure as RECORD10_01,
731,735,5,RECORD10_20,Record-axis condition 20 (ICD-10),ID,Same structure as RECORD10_01,
736,736,1,RESSTATD,Resident status (death side),ID,"1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident",Death-record residence; distinct from RESTATUS (live birth/fetal death side)
737,753,17,RESERVED_737_753,Reserved positions,ID,Reserved (blank),
754,754,1,HOSPD,Hospital and patient status,ID,"1=Hospital/Clinic/Medical Center inpatient; 2=Outpatient or ER admitted; 3=Dead on arrival; 4=Patient status unknown; 5=Nursing home; 6=Residence; 7=Other; 9=Unknown",Last field of public-release record; file content = 754 bytes
